;prec;tmax;tmin;u10;v10
2016-02-27;13.9622249603;27.9599914551;23.3399963379;1.63999938965;-3.41999816895
2016-02-28;6.18622684479;26.3500061035;23.3000183105;2.53999328613;-1.57000732422
2016-02-29;37.5148620605;23.7099914551;22.2200012207;-0.529998779297;5.72999572754
2016-03-01;41.7657546997;22.4400024414;20.5199890137;-3.36000061035;4.59999084473
2016-03-02;18.1267166138;23.8899841309;20.6499938965;-4.13000488281;-0.460006713867
2016-03-03;26.8531036377;25.9700012207;21.3700256348;-1.13999938965;-5.41999816895
2016-03-04;12.3292636871;27.1000061035;21.8500061035;1.13999938965;-3.55999755859
2016-03-05;2.28095722198;27.3000183105;21.6600036621;-0.470001220703;-1.35000610352
2016-03-06;6.48863887787;28.7099914551;21.8700256348;-1.38999938965;-1.21000671387
2016-03-07;35.7609405518;27.6399841309;22.5799865723;-1.77000427246;0.110000610352
2016-03-08;2.00447511673;25.5400085449;21.3600158691;-2.86000061035;0.389999389648
2016-03-09;1.1318385601;26.7300109863;21.7699890137;-2.64999389648;-2.32000732422
2016-03-10;4.41502332687;25.8500061035;21.7900085449;-1.55999755859;-5.19000244141
2016-03-11;13.2019195557;25.8899841309;22.3200073242;0.399993896484;-4.91999816895
2016-03-12;41.0140609741;25.3500061035;22.6399841309;0.809997558594;1.33000183105
2016-03-13;3.9830198288;22.4100036621;20.6399841309;-2.0299987793;4.31999206543
2016-03-14;4.77790641785;23.6200256348;20.6700134277;-3.11999511719;1.86999511719
2016-03-15;0.431983172894;25.0100097656;21.1200256348;-3.0299987793;0.589996337891
2016-03-16;3.48191642761;24.6200256348;20.490020752;-2.58000183105;1.20999145508
2016-03-17;9.95327568054;24.3999938965;21.0199890137;-2.75;-0.550003051758
2016-03-18;10.1519870758;26.2900085449;20.6800231934;-2.00999450684;-0.240005493164
2016-03-19;5.51230144501;27.0799865723;19.0199890137;-0.589996337891;0.679992675781
2016-03-20;0.00863000750542;25.6000061035;20.1900024414;-2.69999694824;0.669998168945
2016-03-21;0.00863000750542;26.4200134277;20.1200256348;-2.66999816895;-1.18000793457
2016-03-22;6.83422136307;26.740020752;21.25;0.490005493164;-2.5299987793
2016-03-23;15.0681533813;26.75;22.2200012207;-0.570007324219;-0.169998168945
