BP,Temp,CO2,Radiation
-375800,-4.891,242.353,448.719
-375700,-4.988,242.163,448.992
-375600,-5.081,241.973,449.265
-375500,-5.113,241.783,449.538
-375400,-5.145,241.594,449.811
-375300,-5.177,241.404,450.084
-375200,-5.209,241.214,450.357
-375100,-5.241,241.024,450.63
-375000,-5.265,240.834,450.903
-374900,-5.278,240.644,451.15
-374800,-5.29,240.454,451.393
-374700,-5.302,240.264,451.636
-374600,-5.315,240.074,451.879
-374500,-5.327,239.487,452.122
-374400,-5.375,238.647,452.365
-374300,-5.433,237.807,452.608
-374200,-5.491,236.966,452.851
-374100,-5.549,236.126,453.094
-374000,-5.607,235.286,453.337
-373900,-5.664,234.445,453.527
-373800,-5.705,233.605,453.709
-373700,-5.747,232.765,453.891
-373600,-5.788,231.924,454.073
-373500,-5.83,231.084,454.255
-373400,-5.871,230.244,454.437
-373300,-5.913,229.403,454.619
-373200,-5.956,228.563,454.801
-373100,-5.999,227.723,454.983
-373000,-6.041,227.011,455.165
-372900,-6.084,227.089,455.27
-372800,-6.127,227.167,455.363
-372700,-6.183,227.246,455.456
-372600,-6.255,227.324,455.549
-372500,-6.327,227.402,455.642
-372400,-6.399,227.48,455.735
-372300,-6.471,227.559,455.828
-372200,-6.543,227.637,455.921
-372100,-6.587,227.715,456.014
-372000,-6.602,227.793,456.108
-371900,-6.617,227.872,456.11
-371800,-6.632,227.95,456.098
-371700,-6.647,228.028,456.086
-371600,-6.662,228.106,456.074
-371500,-6.598,228.185,456.062
-371400,-6.439,228.263,456.05
-371300,-6.281,228.341,456.038
-371200,-6.122,228.419,456.026
-371100,-5.963,228.498,456.014
-371000,-5.804,228.576,456.002
-370900,-5.706,228.654,455.893
-370800,-5.648,228.732,455.769
-370700,-5.591,228.81,455.645
-370600,-5.533,228.889,455.521
-370500,-5.476,228.967,455.397
-370400,-5.419,229.045,455.273
-370300,-5.384,229.123,455.149
-370200,-5.349,229.202,455.025
-370100,-5.314,229.28,454.901
-370000,-5.28,229.358,454.777
-369900,-5.245,229.436,454.562
-369800,-5.154,229.515,454.333
-369700,-5.023,229.593,454.104
-369600,-4.892,229.671,453.875
-369500,-4.761,229.417,453.646
-369400,-4.63,228.968,453.417
-369300,-4.509,228.52,453.188
-369200,-4.407,228.071,452.959
-369100,-4.305,227.622,452.73
-369000,-4.204,227.173,452.501
-368900,-4.102,226.724,452.198
-368800,-4.055,226.275,451.884
-368700,-4.141,225.827,451.57
-368600,-4.227,225.378,451.256
-368500,-4.313,224.929,450.942
-368400,-4.399,224.48,450.628
-368300,-4.489,224.031,450.314
-368200,-4.588,223.582,450
-368100,-4.688,223.134,449.686
-368000,-4.787,222.685,449.372
-367900,-4.886,222.236,449.007
-367800,-4.967,221.787,448.635
-367700,-4.945,221.338,448.263
-367600,-4.924,220.889,447.891
-367500,-4.903,220.441,447.519
-367400,-4.882,219.992,447.147
-367300,-4.861,219.543,446.775
-367200,-4.856,219.094,446.403
-367100,-4.852,218.645,446.031
-367000,-4.848,218.196,445.659
-366900,-4.845,217.748,445.268
-366800,-4.841,217.299,444.874
-366700,-4.887,216.85,444.48
-366600,-4.943,216.401,444.086
-366500,-4.999,215.952,443.692
-366400,-5.055,215.503,443.298
-366300,-5.111,215.055,442.904
-366200,-5.165,214.622,442.51
-366100,-5.216,214.252,442.116
-366000,-5.268,213.881,441.722
-365900,-5.319,213.511,441.34
-365800,-5.371,213.14,440.96
-365700,-5.439,212.77,440.58
-365600,-5.528,212.399,440.2
-365500,-5.618,212.029,439.82
-365400,-5.708,211.658,439.44
-365300,-5.797,211.288,439.06
-365200,-5.885,210.917,438.68
-365100,-5.945,210.547,438.3
-365000,-6.005,210.177,437.92
-364900,-6.065,209.806,437.585
-364800,-6.125,209.436,437.257
-364700,-6.185,209.065,436.929
-364600,-6.17,208.695,436.601
-364500,-6.102,208.324,436.273
-364400,-6.034,207.954,435.945
-364300,-5.966,207.583,435.617
-364200,-5.898,207.213,435.289
-364100,-5.837,206.842,434.961
-364000,-5.814,206.472,434.633
-363900,-5.792,206.101,434.375
-363800,-5.769,205.731,434.128
-363700,-5.747,205.36,433.881
-363600,-5.724,204.99,433.634
-363500,-5.791,204.619,433.387
-363400,-5.881,204.249,433.14
-363300,-5.97,203.878,432.893
-363200,-6.059,203.508,432.646
-363100,-6.148,203.137,432.399
-363000,-6.177,202.767,432.152
-362900,-6.121,202.396,431.994
-362800,-6.065,202.026,431.849
-362700,-6.01,201.997,431.704
-362600,-5.954,202.143,431.559
-362500,-5.899,202.289,431.414
-362400,-5.879,202.435,431.269
-362300,-5.858,202.581,431.124
-362200,-5.837,202.728,430.979
-362100,-5.816,202.874,430.834
-362000,-5.796,203.02,430.689
-361900,-5.852,203.166,430.64
-361800,-5.936,203.312,430.606
-361700,-6.02,203.459,430.572
-361600,-6.105,203.605,430.538
-361500,-6.189,203.751,430.504
-361400,-6.226,203.897,430.47
-361300,-6.19,204.043,430.436
-361200,-6.155,204.19,430.402
-361100,-6.119,204.336,430.368
-361000,-6.084,204.482,430.334
-360900,-6.049,204.628,430.394
-360800,-6.018,204.774,430.467
-360700,-5.988,204.921,430.54
-360600,-5.958,205.067,430.613
-360500,-5.928,205.213,430.686
-360400,-5.897,205.359,430.759
-360300,-5.877,205.505,430.832
-360200,-5.86,205.652,430.905
-360100,-5.842,205.798,430.978
-360000,-5.825,205.944,431.051
-359900,-5.808,206.09,431.202
-359800,-5.864,206.236,431.365
-359700,-5.979,206.382,431.528
-359600,-6.095,206.239,431.691
-359500,-6.21,206.057,431.854
-359400,-6.326,205.875,432.017
-359300,-6.421,205.692,432.18
-359200,-6.464,205.51,432.343
-359100,-6.507,205.327,432.506
-359000,-6.549,205.145,432.669
-358900,-6.592,204.962,432.885
-358800,-6.634,204.78,433.108
-358700,-6.6,204.597,433.331
-358600,-6.554,204.415,433.554
-358500,-6.507,204.232,433.777
-358400,-6.461,204.05,434
-358300,-6.415,203.868,434.223
-358200,-6.407,203.685,434.446
-358100,-6.442,203.503,434.669
-358000,-6.478,203.32,434.892
-357900,-6.513,203.138,435.137
-357800,-6.549,202.955,435.385
-357700,-6.589,202.773,435.633
-357600,-6.668,202.59,435.881
-357500,-6.747,202.408,436.129
-357400,-6.826,202.225,436.377
-357300,-6.905,202.043,436.625
-357200,-6.984,201.861,436.873
-357100,-7.038,201.678,437.121
-357000,-7.079,201.496,437.369
-356900,-7.121,201.313,437.599
-356800,-7.162,201.071,437.827
-356700,-7.204,200.732,438.055
-356600,-7.233,200.393,438.283
-356500,-7.179,200.055,438.511
-356400,-7.125,199.716,438.739
-356300,-7.07,199.377,438.967
-356200,-7.016,199.038,439.195
-356100,-6.962,198.699,439.424
-356000,-6.961,198.36,439.652
-355900,-6.995,198.021,439.827
-355800,-7.03,197.682,439.995
-355700,-7.065,197.343,440.163
-355600,-7.099,197.004,440.331
-355500,-7.136,196.665,440.499
-355400,-7.187,196.327,440.667
-355300,-7.237,195.988,440.835
-355200,-7.288,195.649,441.003
-355100,-7.338,195.31,441.171
-355000,-7.389,194.971,441.339
-354900,-7.415,194.632,441.424
-354800,-7.424,194.293,441.497
-354700,-7.433,193.954,441.57
-354600,-7.442,193.615,441.643
-354500,-7.451,193.276,441.716
-354400,-7.46,192.938,441.789
-354300,-7.504,192.599,441.862
-354200,-7.549,192.26,441.935
-354100,-7.593,191.921,442.008
-354000,-7.638,191.582,442.081
-353900,-7.682,191.243,442.048
-353800,-7.71,190.904,442
-353700,-7.71,190.565,441.952
-353600,-7.71,190.226,441.904
-353500,-7.71,189.887,441.856
-353400,-7.71,189.548,441.808
-353300,-7.71,189.21,441.76
-353200,-7.718,188.871,441.712
-353100,-7.728,188.532,441.664
-353000,-7.739,188.193,441.616
-352900,-7.75,187.854,441.456
-352800,-7.76,187.515,441.28
-352700,-7.768,187.176,441.104
-352600,-7.744,186.837,440.928
-352500,-7.721,186.498,440.752
-352400,-7.698,186.25,440.576
-352300,-7.675,186.662,440.4
-352200,-7.652,187.075,440.224
-352100,-7.634,187.488,440.048
-352000,-7.621,187.901,439.872
-351900,-7.608,188.314,439.59
-351800,-7.596,188.727,439.294
-351700,-7.583,189.14,438.998
-351600,-7.571,189.553,438.702
-351500,-7.582,189.965,438.406
-351400,-7.595,190.378,438.11
-351300,-7.608,190.791,437.814
-351200,-7.62,191.204,437.518
-351100,-7.633,191.617,437.222
-351000,-7.64,192.03,436.926
-350900,-7.64,192.443,436.547
-350800,-7.64,192.856,436.156
-350700,-7.64,193.334,435.765
-350600,-7.64,193.847,435.374
-350500,-7.64,194.361,434.983
-350400,-7.635,194.874,434.592
-350300,-7.629,195.388,434.201
-350200,-7.624,195.901,433.81
-350100,-7.618,196.415,433.419
-350000,-7.613,196.928,433.028
-349900,-7.586,197.442,432.588
-349800,-7.532,197.955,432.142
-349700,-7.479,198.469,431.696
-349600,-7.425,198.982,431.25
-349500,-7.371,199.495,430.804
-349400,-7.318,200.009,430.358
-349300,-7.261,200.522,429.912
-349200,-7.204,201.036,429.466
-349100,-7.147,201.549,429.02
-349000,-7.09,202.063,428.574
-348900,-7.033,202.576,428.124
-348800,-7.024,203.09,427.673
-348700,-7.03,203.603,427.221
-348600,-7.036,204.117,426.77
-348500,-7.042,204.63,426.319
-348400,-7.048,205.144,425.868
-348300,-7.036,205.657,425.417
-348200,-7.01,206.171,424.966
-348100,-6.985,206.684,424.515
-348000,-6.96,207.198,424.064
-347900,-6.935,207.711,423.655
-347800,-6.913,208.224,423.251
-347700,-6.895,208.738,422.847
-347600,-6.878,209.224,422.443
-347500,-6.86,209.468,422.039
-347400,-6.842,209.711,421.634
-347300,-6.831,209.955,421.23
-347200,-6.833,210.198,420.826
-347100,-6.835,210.442,420.422
-347000,-6.837,210.685,420.018
-346900,-6.838,210.929,419.702
-346800,-6.836,211.172,419.397
-346700,-6.82,211.416,419.091
-346600,-6.805,211.659,418.786
-346500,-6.789,211.903,418.481
-346400,-6.773,212.146,418.176
-346300,-6.756,212.39,417.871
-346200,-6.734,212.633,417.566
-346100,-6.712,212.877,417.261
-346000,-6.69,213.12,416.956
-345900,-6.667,213.364,416.778
-345800,-6.647,213.607,416.617
-345700,-6.633,213.85,416.456
-345600,-6.619,214.094,416.295
-345500,-6.605,214.337,416.134
-345400,-6.59,214.581,415.973
-345300,-6.572,214.824,415.812
-345200,-6.541,215.068,415.651
-345100,-6.51,215.311,415.49
-345000,-6.479,215.555,415.329
-344900,-6.449,215.798,415.322
-344800,-6.463,216.042,415.336
-344700,-6.546,216.301,415.35
-344600,-6.63,216.589,415.364
-344500,-6.713,216.876,415.378
-344400,-6.797,217.164,415.392
-344300,-6.832,217.452,415.406
-344200,-6.816,217.74,415.42
-344100,-6.8,218.028,415.434
-344000,-6.784,218.316,415.448
-343900,-6.768,218.604,415.634
-343800,-6.747,218.891,415.842
-343700,-6.722,219.179,416.05
-343600,-6.698,219.467,416.258
-343500,-6.673,219.755,416.466
-343400,-6.649,220.043,416.674
-343300,-6.633,220.331,416.882
-343200,-6.623,220.619,417.09
-343100,-6.613,220.906,417.298
-343000,-6.602,221.194,417.506
-342900,-6.592,221.172,417.888
-342800,-6.545,221.144,418.293
-342700,-6.489,221.116,418.698
-342600,-6.432,221.088,419.103
-342500,-6.376,221.059,419.508
-342400,-6.32,221.031,419.913
-342300,-6.307,221.003,420.318
-342200,-6.294,220.975,420.723
-342100,-6.282,220.946,421.128
-342000,-6.269,220.918,421.533
-341900,-6.263,220.89,422.098
-341800,-6.274,220.862,422.684
-341700,-6.285,220.834,423.27
-341600,-6.295,220.805,423.856
-341500,-6.306,220.777,424.442
-341400,-6.384,220.749,425.028
-341300,-6.503,220.721,425.614
-341200,-6.622,220.692,426.2
-341100,-6.742,220.664,426.786
-341000,-6.861,220.636,427.372
-340900,-6.975,220.608,428.091
-340800,-7.089,220.579,428.827
-340700,-7.202,220.551,429.563
-340600,-7.315,220.523,430.299
-340500,-7.429,220.495,431.035
-340400,-7.384,220.466,431.771
-340300,-7.321,220.438,432.507
-340200,-7.259,220.41,433.243
-340100,-7.197,220.085,433.979
-340000,-7.134,219.599,434.715
-339900,-7.101,219.114,435.544
-339800,-7.071,218.628,436.385
-339700,-7.04,218.143,437.226
-339600,-7.009,217.657,438.067
-339500,-6.984,217.172,438.908
-339400,-7.07,216.686,439.749
-339300,-7.156,216.201,440.59
-339200,-7.241,215.716,441.431
-339100,-7.327,215.23,442.272
-339000,-7.397,214.745,443.114
-338900,-7.377,214.259,443.995
-338800,-7.356,213.774,444.882
-338700,-7.336,213.288,445.769
-338600,-7.316,212.803,446.656
-338500,-7.294,212.318,447.544
-338400,-7.265,211.832,448.431
-338300,-7.237,211.347,449.318
-338200,-7.208,210.861,450.205
-338100,-7.179,210.376,451.092
-338000,-7.178,209.89,451.979
-337900,-7.231,209.405,452.849
-337800,-7.284,208.919,453.717
-337700,-7.337,208.434,454.585
-337600,-7.39,207.949,455.453
-337500,-7.409,207.463,456.321
-337400,-7.385,206.978,457.189
-337300,-7.36,206.492,458.057
-337200,-7.336,206.007,458.925
-337100,-7.311,205.521,459.793
-337000,-7.315,205.036,460.662
-336900,-7.341,204.913,461.452
-336800,-7.368,204.931,462.232
-336700,-7.395,204.949,463.012
-336600,-7.421,204.966,463.792
-336500,-7.409,204.984,464.572
-336400,-7.378,205.002,465.352
-336300,-7.348,205.02,466.132
-336200,-7.317,205.038,466.912
-336100,-7.286,205.056,467.692
-336000,-7.33,205.073,468.472
-335900,-7.392,205.091,469.117
-335800,-7.453,205.109,469.745
-335700,-7.515,205.127,470.373
-335600,-7.577,205.145,471.001
-335500,-7.636,205.163,471.629
-335400,-7.694,205.18,472.257
-335300,-7.753,205.198,472.885
-335200,-7.811,204.957,473.513
-335100,-7.87,204.686,474.141
-335000,-7.882,204.415,474.77
-334900,-7.894,204.145,475.214
-334800,-7.906,203.874,475.635
-334700,-7.918,203.604,476.056
-334600,-7.93,203.333,476.477
-334500,-7.932,203.062,476.898
-334400,-7.934,202.792,477.319
-334300,-7.936,202.521,477.74
-334200,-7.938,202.251,478.161
-334100,-7.94,201.98,478.582
-334000,-7.96,201.709,479.003
-333900,-7.98,201.439,479.205
-333800,-8,201.168,479.379
-333700,-8.02,200.898,479.553
-333600,-8.039,201.702,479.727
-333500,-8.003,205.413,479.901
-333400,-7.967,209.123,480.075
-333300,-7.93,212.834,480.249
-333200,-7.894,216.544,480.423
-333100,-7.853,220.255,480.597
-333000,-7.737,223.966,480.771
-332900,-7.621,227.676,480.707
-332800,-7.504,231.387,480.612
-332700,-7.388,235.098,480.518
-332600,-7.265,238.808,480.424
-332500,-7.119,242.519,480.33
-332400,-6.974,246.23,480.236
-332300,-6.828,249.94,480.142
-332200,-6.682,249.486,480.048
-332100,-6.547,248.719,479.954
-332000,-6.417,247.952,479.86
-331900,-6.287,247.184,479.531
-331800,-6.157,246.417,479.172
-331700,-6.042,245.649,478.813
-331600,-5.972,244.882,478.454
-331500,-5.901,244.115,478.095
